States,Payment_type,Transaction_count,Amount in Millions,Year,Quarter,state_code,Latitude,Longitude
Delhi,Recharge & bill payments,5305635,3261.84,2018,3rd Quarter,7.0,28.6699929,77.23000403
Delhi,Merchant payments,3808395,1048.42,2018,3rd Quarter,7.0,28.6699929,77.23000403
Delhi,Financial Services,274526,45.05,2018,3rd Quarter,7.0,28.6699929,77.23000403
Delhi,Others,601339,350.41,2018,3rd Quarter,7.0,28.6699929,77.23000403
Delhi,Peer-to-peer payments,9973249,32389.25,2018,4th Quarter,7.0,28.6699929,77.23000403
Delhi,Merchant payments,9958967,2738.43,2018,4th Quarter,7.0,28.6699929,77.23000403
Delhi,Recharge & bill payments,7483633,3961.16,2018,4th Quarter,7.0,28.6699929,77.23000403
Delhi,Financial Services,265004,58.16,2018,4th Quarter,7.0,28.6699929,77.23000403
Delhi,Others,1506866,575.85,2018,4th Quarter,7.0,28.6699929,77.23000403
Goa,Recharge & bill payments,85991,18.27,2018,1st Quarter,30.0,15.491997,73.81800065
Goa,Peer-to-peer payments,59651,268.18,2018,1st Quarter,30.0,15.491997,73.81800065
Goa,Merchant payments,7880,11.04,2018,1st Quarter,30.0,15.491997,73.81800065
Goa,Financial Services,1191,0.52,2018,1st Quarter,30.0,15.491997,73.81800065
Goa,Others,6184,5.85,2018,1st Quarter,30.0,15.491997,73.81800065
Goa,Recharge & bill payments,120943,30.99,2018,2nd Quarter,30.0,15.491997,73.81800065
Goa,Peer-to-peer payments,87878,419.49,2018,2nd Quarter,30.0,15.491997,73.81800065
Goa,Merchant payments,12456,20.16,2018,2nd Quarter,30.0,15.491997,73.81800065
Goa,Financial Services,1903,0.73,2018,2nd Quarter,30.0,15.491997,73.81800065
Goa,Others,6395,7.22,2018,2nd Quarter,30.0,15.491997,73.81800065
Goa,Recharge & bill payments,158797,40.31,2018,3rd Quarter,30.0,15.491997,73.81800065
Goa,Peer-to-peer payments,150297,639.47,2018,3rd Quarter,30.0,15.491997,73.81800065
Goa,Merchant payments,21587,26.63,2018,3rd Quarter,30.0,15.491997,73.81800065
Goa,Financial Services,1867,0.47,2018,3rd Quarter,30.0,15.491997,73.81800065
Goa,Others,6963,6.28,2018,3rd Quarter,30.0,15.491997,73.81800065
Goa,Peer-to-peer payments,246426,1021.9,2018,4th Quarter,30.0,15.491997,73.81800065
Goa,Recharge & bill payments,212122,54.83,2018,4th Quarter,30.0,15.491997,73.81800065
Goa,Merchant payments,45586,66.67,2018,4th Quarter,30.0,15.491997,73.81800065
Goa,Financial Services,2523,0.72,2018,4th Quarter,30.0,15.491997,73.81800065
Goa,Others,8098,8.88,2018,4th Quarter,30.0,15.491997,73.81800065
Gujarat,Recharge & bill payments,3691952,878.93,2018,1st Quarter,24.0,22.6708,71.5724
